Database data_candlestick.sqlite3 created and successfully connected to SQLite
SQLite version is:  [('3.22.0',)]
2020-05-18 10:51:00,3.00,2.58
2020-05-18 10:52:00,3.01,2.58
2020-05-18 10:54:00,3.00,2.58
2020-05-18 10:55:00,3.01,2.58
2020-05-18 10:56:00,3.01,2.58
2020-05-18 10:57:00,3.01,2.58
2020-05-18 10:58:00,3.01,2.58
2020-05-18 10:59:00,3.03,2.60
2020-05-18 11:00:00,3.00,2.58
2020-05-18 11:01:00,3.01,2.58
2020-05-18 11:02:00,3.00,2.58
2020-05-18 11:03:00,3.00,2.58
2020-05-18 11:06:00,3.03,2.60
2020-05-18 11:07:00,3.41,2.98
2020-05-18 11:08:00,3.30,2.88
2020-05-18 11:09:00,3.30,2.88
2020-05-18 11:10:00,3.30,2.87
2020-05-18 11:11:00,3.30,2.88
2020-05-18 11:12:00,3.62,3.19
2020-05-18 11:13:00,3.41,2.98
2020-05-18 11:14:00,3.41,2.98
2020-05-18 11:15:00,3.30,2.87
2020-05-18 11:16:00,3.30,2.88
2020-05-18 11:18:00,3.30,2.88
2020-05-18 11:19:00,3.30,2.77
2020-05-18 11:20:00,3.30,2.77
2020-05-18 11:22:00,3.30,2.77
2020-05-18 11:23:00,3.30,2.77
2020-05-18 11:24:00,3.30,2.77
2020-05-18 11:25:00,3.30,2.77
2020-05-18 11:27:00,3.31,2.77
2020-05-18 11:29:00,3.30,2.77
2020-05-18 11:30:00,3.30,2.77
2020-05-18 11:31:00,3.62,2.77
2020-05-18 11:32:00,3.46,2.77
2020-05-18 11:33:00,3.41,2.62
2020-05-18 11:35:00,3.30,2.51
2020-05-18 11:36:00,3.31,2.52
2020-05-18 11:37:00,3.31,2.52
2020-05-18 11:38:00,3.30,2.42
2020-05-18 11:39:00,3.30,2.42
2020-05-18 11:40:00,3.81,2.42
2020-05-18 11:41:00,3.55,2.42
2020-05-18 11:42:00,3.82,2.58
2020-05-18 11:43:00,4.10,2.86
2020-05-18 11:44:00,4.93,3.68
2020-05-18 11:45:00,4.65,3.40
2020-05-18 11:46:00,5.49,4.23
2020-05-18 11:47:00,6.07,4.81
2020-05-18 11:48:00,6.07,4.80
2020-05-18 11:49:00,5.49,4.23
2020-05-18 11:50:00,6.07,4.81
2020-05-18 11:51:00,6.19,4.92
2020-05-18 11:53:00,7.23,5.95
2020-05-18 11:54:00,7.71,6.42
2020-05-18 11:55:00,8.27,6.98
2020-05-18 11:56:00,8.27,6.98
2020-05-18 12:00:00,8.26,6.97
2020-05-18 12:12:00,8.26,6.97
2020-05-18 12:13:00,7.97,6.68
2020-05-18 12:20:00,8.87,7.57
2020-05-18 12:21:00,9.99,8.68
2020-05-18 12:22:00,10.54,9.22
2020-05-18 12:23:00,11.00,9.67
2020-05-18 12:24:00,9.37,8.07
2020-05-18 12:25:00,9.37,8.07
2020-05-18 12:26:00,11.13,9.80
2020-05-18 12:47:00,7.97,6.68
2020-05-18 12:53:00,8.26,6.97
2020-05-18 12:54:00,8.26,6.97
2020-05-18 13:02:00,7.98,6.86
2020-05-18 13:03:00,7.98,6.86
2020-05-18 13:05:00,7.98,6.86
2020-05-18 13:06:00,7.91,6.86
2020-05-18 13:10:00,7.57,6.86
2020-05-18 13:18:00,7.57,6.86
2020-05-18 13:21:00,7.57,6.86
2020-05-18 13:24:00,7.92,6.86
2020-05-18 13:25:00,7.92,6.86
2020-05-18 13:29:00,7.71,6.86
2020-05-18 13:42:00,7.92,6.97
2020-05-18 13:43:00,7.92,6.97
2020-05-18 13:44:00,7.91,6.96
2020-05-18 13:46:00,7.92,6.97
2020-05-18 13:47:00,7.92,6.97
2020-05-18 13:49:00,7.92,6.97
2020-05-18 13:50:00,7.92,6.97
2020-05-18 13:51:00,7.92,6.97
2020-05-18 13:53:00,7.92,6.86
2020-05-18 13:54:00,7.92,6.86
2020-05-18 13:55:00,7.91,6.86
2020-05-18 13:56:00,7.91,6.86
2020-05-18 13:57:00,7.92,6.86
2020-05-18 13:58:00,7.92,6.86
2020-05-18 14:00:00,7.91,6.86
2020-05-18 14:01:00,7.91,6.86
2020-05-18 14:03:00,7.92,6.86
2020-05-18 14:05:00,7.92,6.86
2020-05-18 14:06:00,7.91,6.86
2020-05-18 14:07:00,7.92,6.86
